ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;20~39;*;*;*;*;Government;*;<=50K
1;Male;40~59;*;Married-civ-spouse;Undergraduate;United-States;Self-emp-not-inc;Exec-managerial;<=50K
2;Male;20~39;White;*;*;*;Private;Nontechnical;<=50K
3;Male;40~59;*;Married-civ-spouse;High School;*;Non-Government;*;<=50K
4;Female;*;*;*;*;North America;Non-Government;*;<=50K
5;*;20~39;*;*;*;*;*;*;<=50K
6;Female;40~59;*;*;High School;*;Non-Government;*;<=50K
7;Male;*;White;*;High School;United-States;Non-Government;*;>50K
8;*;*;*;Never-married;Higher education;North America;Private;*;>50K
9;Male;40~44;*;Married-civ-spouse;Undergraduate;North America;Private;Exec-managerial;>50K
10;Male;*;*;*;*;North America;Non-Government;Nontechnical;>50K
11;*;*;Asian-Pac-Islander;*;Higher education;*;*;*;>50K
12;Female;20~39;White;spouse not present;*;United-States;Non-Government;Other;<=50K
13;Male;*;Black;spouse not present;*;North America;Non-Government;*;<=50K
14;Male;20~39;*;*;*;*;Non-Government;*;<=50K
15;Male;20~39;*;spouse not present;High School;North America;*;*;<=50K
16;Male;20~39;White;spouse not present;*;*;Non-Government;*;<=50K
17;Male;20~39;*;*;*;*;Non-Government;*;<=50K
18;Female;40~59;*;spouse not present;*;North America;*;*;>50K
19;Male;*;*;*;*;*;Private;Technical;>50K
20;Female;40~59;*;*;High School;*;Non-Government;*;<=50K
21;Male;*;*;*;*;*;*;*;<=50K
22;Male;*;*;Married-civ-spouse;*;North America;*;Other;<=50K
23;Female;40~59;*;spouse not present;High School;North America;Private;*;<=50K
24;Male;40~59;White;Married-civ-spouse;Higher education;United-States;*;Technical;>50K
25;Male;*;*;spouse not present;High School;*;Private;*;<=50K
26;Male;20~39;White;spouse not present;*;North America;Private;Nontechnical;<=50K
27;Male;*;White;Married-civ-spouse;*;North America;Non-Government;*;<=50K
28;Male;*;White;spouse not present;*;North America;*;Other;<=50K
29;*;*;*;spouse not present;*;United-States;Private;Nontechnical;<=50K
30;*;*;*;*;Higher education;*;Non-Government;*;<=50K
31;*;*;White;*;*;United-States;*;*;<=50K
32;*;*;*;*;*;North America;*;*;<=50K
33;*;*;*;*;*;North America;*;*;<=50K
34;Male;20~39;White;Never-married;Undergraduate;United-States;Private;Technical;<=50K
35;Female;*;White;*;*;North America;Private;Other;<=50K
36;Male;40~59;White;Married-civ-spouse;Higher education;United-States;Non-Government;Prof-specialty;<=50K
37;Male;20~39;White;Married-civ-spouse;*;North America;Non-Government;Technical;<=50K
38;Male;40~59;White;Married-civ-spouse;Higher education;United-States;*;Technical;<=50K
39;Male;20~39;*;*;Higher education;*;Private;Technical;<=50K
40;Female;*;*;spouse not present;*;United-States;*;*;<=50K
41;Male;20~39;White;spouse not present;*;*;Non-Government;*;<=50K
42;Male;*;*;Married-civ-spouse;Higher education;United-States;Government;*;>50K
43;Male;40~59;White;Married-civ-spouse;HS-grad;North America;Private;*;<=50K
44;Female;40~59;White;spouse not present;Higher education;United-States;Non-Government;*;<=50K
45;Male;40~59;White;Married-civ-spouse;Higher education;United-States;*;Technical;<=50K
46;Male;20~39;White;Never-married;Higher education;United-States;Private;Prof-specialty;<=50K
47;*;20~39;*;*;*;*;*;*;<=50K
48;*;40~59;White;*;Higher education;*;Non-Government;*;>50K
49;Male;*;*;*;*;*;*;*;>50K
50;Male;40~59;White;spouse not present;*;North America;Non-Government;*;<=50K
51;Male;40~59;White;Married-civ-spouse;Higher education;United-States;Non-Government;*;>50K
52;Male;*;*;Married-civ-spouse;*;North America;Non-Government;*;<=50K
53;Male;*;White;Married-civ-spouse;Higher education;*;Non-Government;*;<=50K
54;Male;40~59;White;Married-civ-spouse;High School;North America;Non-Government;Other;<=50K
55;Male;*;*;*;High School;*;*;*;<=50K
56;Male;*;White;*;Higher education;United-States;Non-Government;Nontechnical;<=50K
57;Male;*;*;Married-civ-spouse;*;North America;*;Other;<=50K
58;Male;40~59;White;Married-civ-spouse;Graduate;United-States;Non-Government;Technical;>50K
59;Male;20~39;White;spouse not present;Undergraduate;United-States;Non-Government;*;<=50K
60;Male;*;*;*;High School;*;*;*;<=50K
61;Female;20~39;White;spouse not present;*;United-States;Non-Government;Other;<=50K
62;Female;40~59;White;Married-civ-spouse;*;North America;*;*;>50K
63;Male;40~49;White;Married-civ-spouse;Undergraduate;North America;Non-Government;Nontechnical;>50K
64;Male;*;White;*;Undergraduate;North America;*;Prof-specialty;<=50K
65;Female;*;*;spouse not present;*;*;Non-Government;*;<=50K
66;Male;20~39;*;Married-civ-spouse;*;*;*;Nontechnical;>50K
67;Male;20~39;White;Never-married;Undergraduate;United-States;Private;Technical;<=50K
