ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;*;*;*;*;*;*;*;<=50K
1;*;*;*;*;*;*;Non-Government;*;<=50K
2;Male;*;*;spouse not present;*;North America;Non-Government;*;<=50K
3;Male;40~59;*;*;High School;*;Non-Government;*;<=50K
4;*;*;*;*;Higher education;*;Non-Government;*;<=50K
5;*;*;White;Married-civ-spouse;*;*;*;*;<=50K
6;Female;*;*;spouse not present;High School;*;Private;*;<=50K
7;Male;*;White;Married-civ-spouse;High School;*;*;*;>50K
8;Female;*;White;*;*;North America;Non-Government;Technical;>50K
9;*;*;*;*;*;*;Non-Government;*;>50K
10;Male;*;*;*;Higher education;North America;*;*;>50K
11;*;*;*;*;*;*;*;*;>50K
12;*;20~39;*;Never-married;*;North America;Private;Other;<=50K
13;Male;20~39;*;*;*;North America;Non-Government;*;<=50K
14;*;*;*;*;*;*;*;*;<=50K
15;Male;20~39;White;spouse not present;High School;North America;Non-Government;Other;<=50K
16;Male;20~39;White;*;*;*;Private;*;<=50K
17;Male;20~39;White;Married-civ-spouse;High School;North America;Non-Government;*;<=50K
18;Female;40~59;White;*;*;*;*;*;>50K
19;*;*;*;*;Higher education;*;*;*;>50K
20;Female;*;*;spouse not present;High School;*;Private;*;<=50K
21;*;*;*;*;*;*;*;*;<=50K
22;Male;*;White;*;High School;*;Non-Government;*;<=50K
23;Female;*;*;*;*;North America;Non-Government;*;<=50K
24;*;*;*;*;*;*;*;*;>50K
25;Male;*;*;Never-married;High School;*;Non-Government;*;<=50K
26;Male;*;*;spouse not present;*;North America;Non-Government;*;<=50K
27;Male;45~49;White;Married-civ-spouse;*;North America;*;*;<=50K
28;Male;*;*;*;*;*;*;*;<=50K
29;Male;*;Black;spouse not present;*;North America;*;*;<=50K
30;*;40~59;White;spouse not present;Higher education;North America;*;Nontechnical;<=50K
31;Male;20~39;White;Married-civ-spouse;Higher education;United-States;Government;*;<=50K
32;*;*;*;*;*;*;*;*;<=50K
33;Male;*;*;Never-married;High School;*;Non-Government;*;<=50K
34;Male;20~39;*;*;*;North America;*;*;<=50K
35;Female;*;White;*;High School;North America;*;*;<=50K
36;*;*;*;*;*;*;Non-Government;*;<=50K
37;*;20~39;*;Married-civ-spouse;High School;North America;Private;Technical;<=50K
38;*;*;*;*;*;*;Non-Government;*;<=50K
