ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;*;White;spouse not present;*;North America;Government;*;<=50K
1;Male;40~59;White;*;Higher education;*;Non-Government;Nontechnical;<=50K
2;*;*;White;spouse not present;High School;*;Private;*;<=50K
3;Male;40~59;Black;*;*;North America;*;*;<=50K
4;*;*;*;*;*;*;*;*;<=50K
5;*;*;*;*;*;*;*;Nontechnical;<=50K
6;*;*;*;*;*;North America;Non-Government;*;<=50K
7;Male;40~59;White;Married-civ-spouse;*;North America;Non-Government;Nontechnical;>50K
8;Female;20~39;*;Never-married;*;United-States;*;*;>50K
9;*;*;*;*;Higher education;North America;Non-Government;Nontechnical;>50K
10;Male;*;*;*;Higher education;United-States;*;*;>50K
11;*;*;*;*;Higher education;*;*;*;>50K
12;Female;*;White;Never-married;Undergraduate;United-States;Non-Government;*;<=50K
13;*;*;*;*;Higher education;North America;Non-Government;Nontechnical;<=50K
14;*;*;*;*;*;*;*;*;<=50K
15;Male;*;White;Never-married;High School;United-States;*;*;<=50K
16;*;*;White;spouse not present;High School;*;Private;*;<=50K
17;*;20~39;White;*;*;*;Private;*;<=50K
18;Female;*;*;spouse not present;*;*;*;*;>50K
19;Male;*;*;Married-civ-spouse;Higher education;*;Non-Government;*;>50K
20;*;*;*;*;*;North America;Non-Government;*;<=50K
21;Male;*;*;*;*;North America;Government;*;<=50K
22;Male;40~59;*;Married-civ-spouse;High School;North America;Non-Government;Other;<=50K
23;Female;*;*;*;High School;North America;Private;*;<=50K
24;Male;*;*;*;Higher education;United-States;*;*;>50K
25;*;*;White;spouse not present;High School;*;Private;*;<=50K
26;*;*;White;spouse not present;High School;*;Private;*;<=50K
27;Male;40~59;White;Married-civ-spouse;*;North America;Non-Government;*;<=50K
28;Male;*;White;*;*;*;Government;*;<=50K
29;*;*;*;*;Higher education;North America;Non-Government;Nontechnical;<=50K
30;Male;*;*;*;*;North America;Non-Government;Nontechnical;<=50K
31;Male;*;White;*;*;*;Government;*;<=50K
32;Male;*;*;Married-civ-spouse;*;*;*;*;<=50K
33;Male;*;*;spouse not present;*;North America;Private;*;<=50K
34;*;*;*;spouse not present;*;United-States;*;*;<=50K
35;Female;*;*;*;*;United-States;*;*;<=50K
36;Male;*;White;Married-civ-spouse;*;United-States;Non-Government;Prof-specialty;<=50K
37;*;*;*;*;High School;*;Private;*;<=50K
38;Male;*;White;Married-civ-spouse;*;United-States;Non-Government;Prof-specialty;<=50K
39;Male;*;White;Married-civ-spouse;Higher education;*;*;*;<=50K
