ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;20~39;*;spouse not present;*;*;*;*;<=50K
1;Male;40~59;White;Married-civ-spouse;Undergraduate;United-States;*;Nontechnical;<=50K
2;Male;20~39;White;spouse not present;High School;*;Non-Government;*;<=50K
3;Male;*;*;Married-civ-spouse;*;North America;Non-Government;*;<=50K
4;*;*;Black;*;*;North America;*;*;<=50K
5;Female;*;*;*;*;*;Non-Government;*;<=50K
6;*;*;Black;spouse not present;*;North America;Non-Government;*;<=50K
7;Male;40~59;*;Married-civ-spouse;High School;North America;Non-Government;Nontechnical;>50K
8;Female;*;White;Never-married;Higher education;*;*;*;>50K
9;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
10;*;*;*;*;*;*;Private;*;>50K
11;*;*;*;*;Higher education;*;Government;*;>50K
12;Female;*;White;Never-married;Higher education;*;*;*;<=50K
13;Male;*;*;*;*;North America;*;*;<=50K
14;*;20~39;*;*;High School;*;Private;*;<=50K
15;Male;*;White;Never-married;High School;North America;Non-Government;*;<=50K
16;Male;*;White;Never-married;HS-grad;United-States;Non-Government;*;<=50K
17;Male;*;*;Married-civ-spouse;*;*;Non-Government;*;<=50K
18;Female;*;*;spouse not present;*;*;Non-Government;*;>50K
19;Male;*;White;*;*;North America;Private;Technical;>50K
20;*;40~59;*;spouse not present;*;North America;*;*;<=50K
21;*;*;*;*;*;United-States;*;*;<=50K
22;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
23;Female;*;White;spouse not present;*;North America;Non-Government;Technical;<=50K
24;Male;40~59;*;*;Bachelors;United-States;Government;Technical;>50K
25;*;15~19;White;Never-married;High School;United-States;*;*;<=50K
26;Male;20~39;White;spouse not present;High School;*;Non-Government;*;<=50K
27;Male;*;White;*;*;North America;Private;Technical;<=50K
28;Male;*;*;Never-married;*;North America;*;*;<=50K
29;*;*;*;*;*;*;Private;*;<=50K
30;Male;40~59;White;Divorced;Higher education;North America;Non-Government;*;<=50K
31;*;*;White;*;*;North America;*;*;<=50K
32;*;*;*;*;*;North America;Government;*;<=50K
33;*;*;White;*;*;*;Non-Government;*;<=50K
34;Male;20~39;*;*;Higher education;*;Non-Government;*;<=50K
35;Female;*;White;spouse present;High School;North America;Non-Government;Other;<=50K
36;Male;*;*;*;*;*;Non-Government;*;<=50K
37;Male;*;White;*;*;North America;Private;Technical;<=50K
38;Male;*;*;*;*;*;Non-Government;*;<=50K
39;Male;*;White;Married-civ-spouse;*;North America;*;Technical;<=50K
40;Female;*;*;spouse not present;High School;United-States;Non-Government;Other;<=50K
41;Male;20~39;*;spouse not present;High School;North America;Non-Government;*;<=50K
42;*;*;*;*;Higher education;United-States;*;*;>50K
43;Male;*;*;*;*;*;Private;*;<=50K
44;Female;*;White;*;*;*;Non-Government;Nontechnical;<=50K
45;*;40~49;White;*;Higher education;*;*;*;<=50K
46;Male;20~39;*;*;Higher education;*;Non-Government;*;<=50K
47;Female;*;*;*;*;*;Non-Government;*;<=50K
48;*;*;White;*;*;*;*;*;>50K
49;*;*;*;*;*;North America;*;*;>50K
50;*;40~59;*;spouse not present;*;United-States;*;Nontechnical;<=50K
51;Male;*;White;Married-civ-spouse;*;North America;*;Technical;>50K
52;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
53;Male;20~39;White;Married-civ-spouse;*;North America;Private;Other;<=50K
54;*;*;*;Married-civ-spouse;High School;United-States;Non-Government;Other;<=50K
55;Male;*;White;*;*;North America;Private;Technical;<=50K
56;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
57;*;*;*;Married-civ-spouse;High School;United-States;Non-Government;Other;<=50K
58;Male;*;*;*;*;*;Non-Government;*;>50K
59;Male;*;White;*;Undergraduate;United-States;*;*;<=50K
60;Male;*;White;*;*;North America;Private;Technical;<=50K
61;*;20~39;*;spouse not present;*;North America;Private;*;<=50K
62;Female;*;White;Married-civ-spouse;High School;United-States;Non-Government;*;>50K
63;Male;40~59;White;Married-civ-spouse;Undergraduate;United-States;*;Nontechnical;>50K
64;Male;*;White;spouse not present;Higher education;United-States;Non-Government;*;<=50K
65;Female;20~39;*;spouse not present;*;North America;Non-Government;*;<=50K
66;*;*;White;*;*;North America;*;*;>50K
67;Male;20~39;*;*;Higher education;*;Non-Government;*;<=50K
68;Male;*;White;Married-civ-spouse;*;North America;*;Technical;<=50K
69;*;20~39;White;Never-married;High School;North America;Non-Government;Other-service;<=50K
70;Male;20~39;White;Married-civ-spouse;Higher education;*;*;*;<=50K
71;Female;*;White;*;High School;North America;*;*;<=50K
72;Male;*;White;*;*;United-States;*;*;<=50K
73;Male;*;*;Never-married;High School;United-States;Non-Government;*;<=50K
74;*;*;White;*;*;North America;Non-Government;*;<=50K
75;Female;*;White;Married-civ-spouse;High School;United-States;Non-Government;*;<=50K
76;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
77;Female;*;White;spouse not present;*;North America;Non-Government;Technical;>50K
78;Female;40~59;White;spouse not present;HS-grad;*;*;*;<=50K
79;Male;40~59;White;*;High School;North America;Government;*;>50K
80;Male;*;White;*;*;North America;Private;Technical;<=50K
81;Male;20~39;White;Never-married;*;North America;*;*;<=50K
82;*;40~59;*;spouse not present;Higher education;United-States;*;Technical;>50K
83;Male;*;White;Married-civ-spouse;*;North America;*;Technical;<=50K
84;Female;20~39;White;spouse not present;Higher education;*;Private;*;<=50K
85;Female;20~39;*;spouse not present;*;North America;Non-Government;*;<=50K
86;Male;*;White;Married-civ-spouse;*;United-States;Government;*;>50K
87;Male;*;*;Never-married;*;North America;*;*;<=50K
88;Male;40~59;*;Married-civ-spouse;*;*;*;*;>50K
89;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
90;Female;*;White;*;*;*;Non-Government;*;<=50K
91;*;*;*;*;*;United-States;*;*;<=50K
92;Male;60~79;*;Married-civ-spouse;*;United-States;Non-Government;*;>50K
93;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
94;*;*;*;*;Higher education;*;Non-Government;Technical;<=50K
95;Female;*;*;spouse not present;Higher education;United-States;Non-Government;*;<=50K
96;Male;*;White;Never-married;HS-grad;United-States;Non-Government;*;<=50K
97;Male;*;White;Married-civ-spouse;HS-grad;United-States;Non-Government;Technical;>50K
98;Male;20~39;White;Never-married;*;North America;*;*;<=50K
99;*;*;*;*;*;*;*;Other;<=50K
100;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
101;Male;*;White;*;Higher education;*;Non-Government;*;<=50K
102;Male;*;White;*;*;North America;Private;Technical;>50K
103;Male;40~59;White;Married-civ-spouse;High School;North America;Non-Government;Other;>50K
104;Female;*;*;*;*;*;Non-Government;*;<=50K
105;Female;20~39;White;spouse not present;*;*;Private;*;<=50K
106;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
107;Male;40~59;White;*;Higher education;United-States;*;Nontechnical;<=50K
108;*;*;*;*;Higher education;United-States;*;*;>50K
109;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
110;Male;*;White;Never-married;HS-grad;United-States;Non-Government;*;<=50K
111;Female;20~39;*;*;*;North America;Private;*;<=50K
112;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
113;Male;*;*;spouse not present;*;*;*;*;<=50K
114;Male;*;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
115;Male;*;*;*;*;North America;*;*;<=50K
116;Female;*;White;Married-civ-spouse;*;North America;Non-Government;*;>50K
117;Female;*;White;spouse not present;Higher education;North America;*;Other;<=50K
118;Male;20~39;White;Married-civ-spouse;Higher education;*;*;*;>50K
119;Male;*;White;*;Undergraduate;United-States;*;*;<=50K
120;Female;*;White;spouse not present;Higher education;United-States;*;Nontechnical;<=50K
121;*;20~39;*;*;High School;*;Private;*;<=50K
122;Male;*;White;Married-civ-spouse;High School;North America;Non-Government;*;<=50K
123;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
124;Female;*;*;*;*;*;*;*;<=50K
125;*;*;*;Married-civ-spouse;*;*;*;*;>50K
126;Male;*;White;Married-civ-spouse;HS-grad;United-States;Non-Government;Technical;<=50K
127;Female;*;White;*;Higher education;North America;Non-Government;*;<=50K
128;Male;*;*;Never-married;Higher education;United-States;Private;*;<=50K
129;Male;40~59;*;Married-civ-spouse;*;*;*;*;>50K
130;Male;60~79;White;*;*;North America;*;*;<=50K
131;*;20~39;*;spouse not present;*;North America;Private;*;<=50K
132;*;*;White;*;*;North America;Non-Government;*;<=50K
133;Female;*;*;spouse not present;Higher education;United-States;Non-Government;*;>50K
134;Male;*;White;spouse not present;Higher education;United-States;Non-Government;*;<=50K
135;*;20~39;*;*;High School;*;Private;*;<=50K
136;Male;20~39;White;Married-civ-spouse;Higher education;*;*;*;<=50K
137;Female;*;*;spouse not present;High School;United-States;Non-Government;Other;<=50K
138;Male;60~79;White;*;*;North America;*;*;<=50K
139;Female;*;*;spouse not present;Higher education;North America;*;*;<=50K
140;Female;*;White;spouse not present;*;*;Non-Government;*;<=50K
141;*;20~39;*;*;Higher education;*;*;*;<=50K
142;Male;*;White;Never-married;HS-grad;United-States;Non-Government;*;<=50K
143;Male;*;White;*;*;North America;Private;Technical;<=50K
144;Male;*;White;*;Higher education;*;Non-Government;*;<=50K
145;*;*;Black;spouse not present;*;North America;Non-Government;*;<=50K
146;Male;*;*;*;*;*;Private;*;<=50K
147;Male;*;Black;*;*;North America;Non-Government;*;<=50K
148;*;20~39;*;*;High School;*;Private;*;<=50K
149;*;*;*;*;*;*;Non-Government;*;<=50K
150;*;20~39;*;*;High School;*;Private;*;<=50K
151;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
152;Female;20~39;White;spouse not present;Higher education;*;Private;*;<=50K
153;Male;*;*;Never-married;*;North America;*;*;<=50K
154;Male;*;White;spouse not present;Higher education;North America;Government;*;<=50K
155;Male;*;White;spouse not present;High School;North America;*;Nontechnical;<=50K
156;Female;*;*;spouse not present;Higher education;North America;Government;Technical;<=50K
157;*;20~39;White;Never-married;High School;North America;Non-Government;Other-service;<=50K
158;*;*;*;*;*;*;*;*;<=50K
159;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
160;Male;20~39;*;*;Higher education;*;Non-Government;*;<=50K
161;Male;*;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
162;Female;*;White;*;*;*;Non-Government;Nontechnical;<=50K
163;Male;20~39;*;*;High School;North America;Private;*;<=50K
164;*;20~39;*;spouse not present;High School;*;Non-Government;*;<=50K
165;Male;*;*;Never-married;High School;United-States;Non-Government;*;<=50K
166;Male;*;White;Married-civ-spouse;*;North America;*;Technical;<=50K
167;*;*;*;*;Higher education;United-States;*;*;>50K
168;*;*;White;*;*;North America;Non-Government;*;<=50K
169;*;*;*;*;*;*;Private;*;<=50K
170;Male;*;White;*;*;North America;Private;Technical;>50K
171;*;*;White;*;*;North America;*;*;>50K
172;*;20~39;*;*;High School;*;Private;*;<=50K
173;*;40~59;*;spouse not present;Higher education;United-States;Non-Government;Nontechnical;<=50K
174;*;*;White;*;*;*;*;*;<=50K
175;Male;*;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
176;Female;20~39;*;spouse not present;*;North America;Non-Government;*;<=50K
177;Male;*;White;Married-civ-spouse;*;North America;*;Technical;<=50K
178;*;*;*;*;Higher education;United-States;*;*;<=50K
179;Male;*;White;Married-civ-spouse;Undergraduate;United-States;Private;Technical;<=50K
180;*;40~49;White;*;Higher education;*;*;*;<=50K
181;Male;*;*;*;Primary School;North America;Non-Government;*;<=50K
182;Male;*;White;*;Undergraduate;United-States;*;*;<=50K
183;Female;20~39;White;spouse not present;*;North America;*;Nontechnical;>50K
184;Male;*;White;*;*;North America;Private;Technical;>50K
185;Male;20~39;White;Never-married;*;North America;*;*;<=50K
186;Female;*;White;Never-married;Higher education;*;*;*;<=50K
187;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
188;*;40~59;*;spouse not present;Higher education;United-States;*;Technical;<=50K
189;*;*;*;*;High School;North America;*;*;<=50K
190;Female;*;White;*;*;*;Non-Government;Nontechnical;<=50K
191;Male;*;*;Married-civ-spouse;*;North America;Non-Government;*;>50K
192;Male;*;*;*;*;*;Private;*;<=50K
193;Female;*;White;Married-civ-spouse;*;North America;Non-Government;*;>50K
194;Female;*;White;*;*;*;Non-Government;Nontechnical;<=50K
195;Male;*;*;*;High School;North America;*;*;<=50K
196;Male;*;White;*;*;North America;Private;Technical;>50K
197;*;*;*;Never-married;Higher education;North America;*;Nontechnical;<=50K
198;Male;*;*;*;*;*;Private;*;<=50K
199;Male;*;White;Married-civ-spouse;*;North America;*;Technical;>50K
200;Male;*;*;*;*;North America;*;*;>50K
201;Female;*;White;spouse not present;Higher education;United-States;*;Nontechnical;<=50K
202;Male;*;White;*;Higher education;*;Non-Government;*;<=50K
203;Male;*;White;Married-civ-spouse;Undergraduate;United-States;Private;Technical;<=50K
204;Male;20~39;White;Never-married;High School;North America;Non-Government;Technical;<=50K
205;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
206;Male;*;*;spouse not present;*;North America;*;*;<=50K
207;Male;*;Black;*;*;North America;Non-Government;*;<=50K
208;*;40~59;*;*;*;United-States;Government;Technical;<=50K
209;Female;*;White;*;*;*;Non-Government;Nontechnical;<=50K
210;*;*;*;Married-civ-spouse;High School;United-States;Non-Government;Other;<=50K
211;Female;*;White;spouse not present;*;*;Non-Government;*;<=50K
212;Female;*;*;spouse not present;High School;United-States;Non-Government;Other;<=50K
213;Male;*;*;spouse not present;*;North America;*;*;<=50K
214;*;*;Black;spouse not present;*;North America;Non-Government;*;<=50K
215;Male;20~39;White;Never-married;Higher education;United-States;Non-Government;Other;<=50K
216;Female;*;*;spouse not present;Higher education;United-States;Non-Government;*;<=50K
217;Male;20~39;*;*;Higher education;*;Non-Government;*;>50K
218;*;*;*;*;*;*;*;*;<=50K
219;*;*;*;*;*;*;*;Other;<=50K
220;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
221;Male;*;White;Married-civ-spouse;*;United-States;Government;*;>50K
222;Male;*;White;Never-married;High School;North America;Non-Government;*;<=50K
223;Male;20~39;White;Married-civ-spouse;Undergraduate;North America;Non-Government;Technical;>50K
224;Female;*;White;Married-civ-spouse;*;North America;Non-Government;*;<=50K
225;*;*;White;*;*;North America;*;*;<=50K
226;Male;*;White;*;Undergraduate;United-States;*;*;<=50K
227;*;*;*;Married-civ-spouse;High School;United-States;Non-Government;Other;>50K
228;*;20~39;*;*;High School;*;Private;*;<=50K
229;Male;*;White;*;*;North America;Private;Technical;>50K
230;*;*;White;*;*;*;*;*;>50K
231;Female;*;*;spouse present;*;*;*;*;<=50K
232;*;*;*;*;*;*;*;Other;<=50K
233;*;*;*;*;Higher education;*;Government;*;<=50K
234;Male;*;White;*;Higher education;North America;Non-Government;*;<=50K
235;Male;*;*;*;*;*;*;*;>50K
236;Female;*;White;*;High School;North America;*;*;<=50K
237;Female;*;*;spouse not present;High School;United-States;Non-Government;Other;<=50K
238;Female;*;*;spouse not present;*;*;Non-Government;*;<=50K
239;*;*;White;*;*;*;Non-Government;*;<=50K
240;Female;20~39;White;spouse not present;Higher education;*;Private;*;<=50K
241;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
242;Male;*;*;Never-married;High School;United-States;Non-Government;*;<=50K
243;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;<=50K
244;Male;*;White;*;*;North America;Private;Technical;<=50K
245;*;*;*;*;*;*;Non-Government;*;>50K
246;Male;*;White;Married-civ-spouse;High School;United-States;Non-Government;Nontechnical;>50K
247;Female;*;White;spouse not present;Bachelors;North America;Private;Technical;<=50K
248;*;*;*;*;High School;North America;Non-Government;*;>50K
249;Male;*;White;Married-civ-spouse;High School;United-States;Non-Government;Nontechnical;>50K
250;Male;*;*;Never-married;High School;United-States;Non-Government;*;<=50K
251;Male;*;White;Married-civ-spouse;Higher education;United-States;*;Other;<=50K
252;Male;*;*;Never-married;*;North America;*;*;<=50K
253;Female;20~29;*;*;High School;United-States;Private;*;<=50K
254;Male;*;*;Married-civ-spouse;*;North America;Non-Government;*;<=50K
255;Male;*;White;Married-civ-spouse;Undergraduate;United-States;Private;Technical;>50K
256;*;20~39;*;spouse not present;*;North America;Private;*;<=50K
257;Female;20~39;White;Never-married;Undergraduate;North America;*;Technical;<=50K
258;*;*;White;*;*;*;*;*;>50K
259;Female;20~39;White;spouse not present;Higher education;*;Private;*;<=50K
260;*;40~49;White;*;Higher education;*;*;*;>50K
261;Female;*;*;spouse not present;*;*;Non-Government;*;<=50K
262;*;*;*;*;Higher education;*;Non-Government;Technical;<=50K
263;Male;20~39;*;spouse not present;High School;North America;Non-Government;*;<=50K
264;Male;*;White;Married-civ-spouse;*;United-States;Government;*;>50K
265;Male;40~59;White;Married-civ-spouse;Higher education;United-States;Private;Prof-specialty;>50K
266;*;40~59;*;spouse not present;*;North America;*;*;<=50K
267;*;20~39;*;spouse not present;*;North America;Private;*;<=50K
268;*;*;White;*;*;*;Non-Government;*;<=50K
269;Male;20~39;White;Married-civ-spouse;Undergraduate;North America;Non-Government;Technical;<=50K
270;Female;20~39;*;spouse not present;High School;North America;Non-Government;Technical;<=50K
271;Male;20~39;*;spouse not present;*;*;*;*;<=50K
272;Male;*;White;*;Higher education;*;Non-Government;*;<=50K
273;Female;20~39;*;spouse not present;*;North America;Non-Government;*;<=50K
274;*;*;*;Married-civ-spouse;High School;United-States;Non-Government;Other;<=50K
275;Female;*;*;spouse not present;*;*;Non-Government;Nontechnical;<=50K
276;Male;*;White;Never-married;HS-grad;United-States;Non-Government;*;<=50K
277;Male;20~39;White;spouse not present;High School;*;Non-Government;*;<=50K
278;Male;40~59;White;Married-civ-spouse;Undergraduate;North America;Non-Government;*;>50K
279;*;20~39;*;*;Higher education;*;*;*;<=50K
280;*;*;*;Married-civ-spouse;High School;United-States;Non-Government;Other;>50K
281;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
282;Female;*;*;*;*;*;*;*;<=50K
283;Female;*;*;spouse not present;High School;United-States;Non-Government;Other;<=50K
284;Male;20~39;*;*;Higher education;*;Non-Government;*;<=50K
285;Female;*;*;spouse not present;Higher education;United-States;Non-Government;*;<=50K
286;Male;20~39;White;Married-civ-spouse;Higher education;*;*;*;>50K
287;Male;40~59;White;Married-civ-spouse;Undergraduate;North America;Non-Government;*;>50K
288;Male;*;White;*;Higher education;*;Non-Government;*;<=50K
289;*;*;*;*;*;*;Non-Government;*;>50K
290;Female;*;*;*;Higher education;*;*;*;>50K
291;Male;*;White;*;Higher education;*;Non-Government;*;<=50K
292;Male;20~39;*;*;Higher education;*;Non-Government;*;<=50K
293;Male;60~79;*;Married-civ-spouse;*;United-States;Non-Government;*;<=50K
294;*;*;White;*;*;*;*;*;<=50K
295;Female;20~39;White;Never-married;Higher education;United-States;Private;Technical;<=50K
296;Female;*;*;spouse not present;High School;United-States;Non-Government;Other;<=50K
297;Male;*;White;Married-civ-spouse;HS-grad;United-States;Non-Government;Exec-managerial;<=50K
298;Male;*;White;Married-civ-spouse;Undergraduate;United-States;Private;Technical;<=50K
299;Male;20~39;*;*;High School;North America;Private;*;<=50K
300;Female;*;White;spouse not present;*;North America;Non-Government;Nontechnical;<=50K
301;Male;60~79;White;*;*;North America;*;*;<=50K
302;*;*;*;Married-civ-spouse;High School;United-States;Non-Government;Other;<=50K
303;*;*;White;*;*;*;*;*;>50K
304;Male;40~59;*;Married-civ-spouse;High School;North America;Non-Government;Nontechnical;<=50K
305;Male;*;*;Never-married;High School;United-States;Non-Government;*;<=50K
306;*;*;Black;spouse not present;*;North America;Non-Government;*;<=50K
307;Male;20~39;White;Never-married;Higher education;United-States;Non-Government;Other;<=50K
308;Male;40~59;*;spouse not present;*;*;Non-Government;*;<=50K
309;Male;40~59;White;*;High School;North America;Government;*;<=50K
310;*;*;*;Married-civ-spouse;High School;United-States;Non-Government;Other;<=50K
311;Male;15~19;*;Never-married;*;North America;Non-Government;Other-service;<=50K
312;Male;*;White;Never-married;HS-grad;United-States;Non-Government;*;<=50K
313;Male;*;White;spouse not present;Higher education;United-States;Non-Government;*;<=50K
314;Male;*;*;*;*;North America;*;*;<=50K
315;Male;*;Black;*;*;North America;Non-Government;*;<=50K
316;*;*;*;Never-married;Higher education;North America;*;Nontechnical;<=50K
317;Male;*;White;Married-civ-spouse;Higher education;United-States;Private;Craft-repair;>50K
318;*;*;*;*;*;*;*;*;>50K
319;Male;*;White;Never-married;High School;North America;Non-Government;*;<=50K
320;*;*;*;*;*;*;*;Other;<=50K
321;Male;*;White;*;Higher education;North America;Non-Government;Nontechnical;<=50K
322;Male;40~59;*;spouse not present;*;*;Non-Government;*;<=50K
323;Male;20~39;*;*;Higher education;*;Non-Government;*;<=50K
324;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
325;Male;*;White;*;HS-grad;*;*;Other;<=50K
326;Male;*;White;Married-civ-spouse;*;*;Non-Government;*;>50K
327;Male;40~59;White;*;High School;North America;Government;*;<=50K
328;Male;*;White;*;HS-grad;*;*;Other;>50K
329;Male;*;*;*;*;North America;*;*;<=50K
330;Male;*;White;*;*;North America;Private;Technical;>50K
331;Female;*;White;Married-civ-spouse;High School;United-States;Non-Government;*;<=50K
332;Male;20~39;White;*;High School;*;Non-Government;Technical;<=50K
333;*;*;White;*;*;North America;*;*;<=50K
334;Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
335;Male;*;White;*;Undergraduate;North America;*;Other;<=50K
336;Male;40~59;White;Divorced;Higher education;North America;Non-Government;*;>50K
337;Male;20~39;White;spouse not present;High School;*;Non-Government;*;<=50K
338;Male;*;White;*;*;North America;Private;Technical;<=50K
339;Male;40~59;White;*;Higher education;United-States;*;Nontechnical;<=50K
