ID;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
0;Male;*;*;*;*;*;*;*;<=50K
1;Male;*;White;*;*;*;Non-Government;*;<=50K
2;Male;*;White;*;*;*;Non-Government;*;<=50K
3;*;*;*;Married-civ-spouse;*;*;Non-Government;*;<=50K
4;*;*;*;*;*;*;*;*;<=50K
5;*;*;*;*;*;*;*;*;<=50K
6;*;*;*;spouse not present;*;*;*;*;<=50K
7;*;*;*;Married-civ-spouse;*;*;Non-Government;*;>50K
8;Female;*;White;*;*;*;Non-Government;*;>50K
9;Male;*;White;*;*;*;Non-Government;*;>50K
10;Male;*;*;Married-civ-spouse;*;*;*;Nontechnical;>50K
11;*;*;*;*;*;*;*;*;>50K
12;Female;*;White;*;*;*;Non-Government;*;<=50K
13;Male;*;*;spouse not present;Higher education;*;Non-Government;*;<=50K
14;*;*;*;Married-civ-spouse;*;*;Non-Government;*;<=50K
15;Male;*;*;spouse not present;*;*;Non-Government;*;<=50K
16;*;20~39;*;spouse not present;*;North America;Private;Machine-op-inspct;<=50K
17;Male;20~39;White;Married-civ-spouse;High School;United-States;Private;Nontechnical;<=50K
18;*;*;*;spouse not present;*;*;*;*;>50K
19;Male;*;White;Married-civ-spouse;Higher education;*;*;Technical;>50K
20;*;*;*;spouse not present;*;*;*;*;<=50K
21;Male;*;*;*;High School;North America;*;*;<=50K
22;*;*;*;Married-civ-spouse;*;*;Non-Government;*;<=50K
23;*;*;*;spouse not present;*;*;*;*;<=50K
24;Male;40~59;White;*;Higher education;North America;Government;*;>50K
25;*;15~19;*;Never-married;*;*;Private;*;<=50K
26;*;20~39;*;spouse not present;*;North America;Private;*;<=50K
27;Male;*;*;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
28;Male;*;*;*;*;*;*;*;<=50K
29;*;*;*;*;*;*;Non-Government;*;<=50K
30;Male;*;White;*;*;*;Non-Government;Nontechnical;<=50K
31;*;*;*;*;*;*;Government;*;<=50K
32;Male;*;*;*;Higher education;*;*;*;<=50K
33;Male;*;White;spouse not present;*;North America;*;Technical;<=50K
34;Male;20~39;White;*;*;*;*;*;<=50K
35;Female;*;*;*;High School;North America;Non-Government;*;<=50K
36;*;*;White;*;Higher education;*;Non-Government;Technical;<=50K
37;Male;20~39;White;Married-civ-spouse;*;North America;*;Technical;<=50K
38;*;*;White;*;Higher education;*;Non-Government;Technical;<=50K
39;Male;*;White;Married-civ-spouse;Higher education;*;*;Technical;<=50K
40;Female;*;*;spouse not present;*;*;Non-Government;*;<=50K
41;Male;*;White;spouse not present;*;United-States;*;*;<=50K
42;*;*;*;*;*;North America;*;*;>50K
43;Male;*;*;Married-civ-spouse;High School;United-States;Non-Government;Technical;<=50K
44;Female;*;White;spouse not present;*;North America;Non-Government;Nontechnical;<=50K
45;Male;40~59;White;*;Higher education;North America;Government;*;<=50K
46;Male;20~39;White;*;*;*;*;*;<=50K
47;*;*;*;*;*;*;*;*;<=50K
48;Female;*;*;Married-civ-spouse;Higher education;*;Non-Government;*;>50K
49;Male;40~59;White;*;Higher education;*;*;*;>50K
50;Male;*;White;*;*;*;Non-Government;*;<=50K
51;*;*;White;*;Higher education;*;Non-Government;Technical;>50K
52;Male;*;*;Married-civ-spouse;*;*;Non-Government;*;<=50K
53;Male;*;*;*;*;*;Non-Government;*;<=50K
54;*;*;*;Married-civ-spouse;*;*;Non-Government;*;<=50K
55;Male;20~39;White;Married-civ-spouse;*;North America;*;Technical;<=50K
56;Male;*;White;*;*;*;Non-Government;Nontechnical;<=50K
57;*;*;*;Married-civ-spouse;*;*;Non-Government;*;<=50K
58;*;40~59;White;Married-civ-spouse;Higher education;United-States;Non-Government;*;>50K
59;Male;20~39;*;*;*;*;Non-Government;*;<=50K
60;Male;20~39;White;Married-civ-spouse;*;North America;*;Technical;<=50K
61;Female;*;White;*;*;*;Non-Government;*;<=50K
62;Female;*;*;*;*;North America;*;*;>50K
63;Male;*;White;*;*;*;Non-Government;*;>50K
64;Male;*;*;spouse not present;*;*;Non-Government;*;<=50K
65;*;*;*;*;*;*;Non-Government;*;<=50K
66;Male;*;*;Married-civ-spouse;*;*;*;Nontechnical;>50K
67;Male;20~39;White;*;*;*;*;*;<=50K
68;*;*;White;*;Higher education;*;Non-Government;Technical;<=50K
69;*;20~39;*;spouse not present;*;North America;Private;*;<=50K
70;Male;*;*;*;*;*;Non-Government;*;<=50K
71;*;15~19;White;Never-married;*;*;Private;*;<=50K
72;Male;*;*;Married-civ-spouse;*;North America;*;*;<=50K
73;*;15~19;*;Never-married;*;*;Private;*;<=50K
74;Male;*;White;*;*;*;Non-Government;*;<=50K
75;Female;*;*;*;*;North America;*;*;<=50K
76;*;*;*;Married-civ-spouse;*;*;Non-Government;*;<=50K
77;*;*;*;spouse not present;*;*;*;*;>50K
78;Female;*;White;spouse not present;*;North America;Non-Government;Nontechnical;<=50K
79;*;40~59;White;*;*;*;Government;*;>50K
80;Male;*;White;Married-civ-spouse;Higher education;*;*;Technical;<=50K
81;Male;*;White;spouse not present;*;United-States;*;*;<=50K
82;*;*;*;*;Higher education;United-States;*;*;>50K
83;*;40~59;White;Married-civ-spouse;Higher education;United-States;Non-Government;*;<=50K
84;Female;*;White;*;*;*;Non-Government;*;<=50K
85;*;*;*;*;*;North America;*;*;<=50K
86;*;*;*;*;*;*;Government;*;>50K
87;Male;*;*;*;*;*;*;*;<=50K
88;*;*;White;*;Higher education;*;Non-Government;Technical;>50K
89;Male;*;*;Married-civ-spouse;*;*;*;Nontechnical;>50K
90;*;*;*;*;*;*;Non-Government;*;<=50K
91;*;*;*;*;*;*;*;*;<=50K
